category_id;code;name;unit;factory_id;specification;default_warehouse_ids;manages_lot;manages_expiry;min_stock;max_stock;opening_stock;image_url;equipment_name;is_active;created_at;updated_at
Vật tư hoá chất;AF;Acid Formic 85%;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 35;KB;;;25000;1000;6685;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;MT;Metabisunfit;kg;0268ab41-a564-4538-acf1-6297ac372f57;Bao 25;KB;;;1000;25;925;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;AM;Amoniac;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 30;KT;;;10000;2375;6753;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;AA;Acid acetic 99%;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 30;KB;;;12000;1500;90;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;DCS;Dầu cao su;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 25;KA;;;2000;25;209;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;LP152;LP 152;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 25;KB;;;500;100;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;HAS;HAS;kg;0268ab41-a564-4538-acf1-6297ac372f57;Bao 25;KB;;;5000;375;1865;; ;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;NA;Sút;kg;0268ab41-a564-4538-acf1-6297ac372f57;Bao 25;KNH;;;1000;25;1025;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VS60;Bọc PE 0,04 VRG SVRCV60;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG SVRCV60;KA;;;3000;375;550;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VC60;Bọc PE 0,04 VRG CSRCV60;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG CSRCV60;KA;;;3000;375;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VS3L;Bọc PE 0,04 VRG SVR3L;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG SVR3L;KA;;;3000;375;1800;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VC3L;Bọc PE 0,04 VRG CSR3L;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG CSR3L;KA;;;18000;1650;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VS10;Bọc PE 0,04 VRG SVR10;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG SVR10;KA;;;18000;1650;1690;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004VC10;Bọc PE 0,04 VRG CSR10;kg;0268ab41-a564-4538-acf1-6297ac372f57;VRG CSR10;KA;;;18000;1650;2853;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004K;Bọc PE 0,04 Không nhãn;kg;0268ab41-a564-4538-acf1-6297ac372f57;Không nhãn;KA;;;18000;1650;195;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B004H;Bọc PE 0,04 Mẫu hủy (SVRCV50/60);kg;0268ab41-a564-4538-acf1-6297ac372f57;Mẫu hủy (SVRCV50/60/5);KA;;;18000;1650;1008;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;B013H;Bọc PE 0,13 Mẫu hủy (SVR50/60);kg;0268ab41-a564-4538-acf1-6297ac372f57;Mẫu hủy (SVR50/60);KA;;;50400;4620;134;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;TT;Thảm trong;kg;0268ab41-a564-4538-acf1-6297ac372f57;Cuồn;KA;;;1000;275;1459;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;DPH;Pallet sắt dày;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;1000;100;610;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;MUBEZ;Pallet sắt mỏng UBE, Zeon;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;500;100;315;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;PG;Pallet gỗ;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;200;200;49;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;NG;Nắp gỗ;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;250;200;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;NS;Nắp sắt;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;250;10;236;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;ĐG;Đế gỗ;cái;0268ab41-a564-4538-acf1-6297ac372f57;TCCT;KTPMT, KTPMN;;;250;200;955;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;N50;Nhớt 50;lít;0268ab41-a564-4538-acf1-6297ac372f57;Phi 200;KDDX;;;400;50;494;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;N90;Nhớt 90;lít;0268ab41-a564-4538-acf1-6297ac372f57;Phi 200;KDDX;;;400;50;26;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;MOTH;Mỡ thường;kg;0268ab41-a564-4538-acf1-6297ac372f57;Thùng;KA;;;100;13;91;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;MOCN;Mỡ chịu nhiệt;kg;0268ab41-a564-4538-acf1-6297ac372f57;Thùng;KA;;;100;4;12;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;X92;Xăng;lít;0268ab41-a564-4538-acf1-6297ac372f57;Can nhựa;KDDX;;;200;30;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;DOX;Dầu vận chuyển;lít;0268ab41-a564-4538-acf1-6297ac372f57;Bồn cố định 10000L;KDDX, KDMFL;;;10000;5000;9530;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;DOSXT;Dầu lò sấy mủ tạp;lít;0268ab41-a564-4538-acf1-6297ac372f57;Bồn cố định 20000L;KDMT, KDMFL;;;20000;5000;2340;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;N140;Nhớt 140;lít;0268ab41-a564-4538-acf1-6297ac372f57;Phi 200;KDDX;;;400;13;185;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;APH;Acid Phosphoric 85%;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 35;KA;;;500;200;315;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;XPD;Xà phòng 72% dầu;kg;0268ab41-a564-4538-acf1-6297ac372f57;Cục vuông  5*5;KBHLD;;;100;10;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;GTCS;Găng tay cao su;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Túi (1 đôi);KBHLD;;;100;50;425;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;PMB5;Pallet sắt MB5;cái;0268ab41-a564-4538-acf1-6297ac372f57;MB5;KTPMT, KTPMN;;;;;715;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Dụng cụ;CHC;Chổi cỏ;cây;0268ab41-a564-4538-acf1-6297ac372f57;;KBHLD;;;;;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHAT;Áo thun;cái;0268ab41-a564-4538-acf1-6297ac372f57;Xanh dương Nam Nữ;KBHLD;;;;;53;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHAM;Áo mưa;cái;0268ab41-a564-4538-acf1-6297ac372f57;Áo mưa;KBHLD;;;;;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHTD;Tạp dề chống ướt;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu trong suốt;KBHLD;;;;;308;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHBTV;Bao tay vải;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Ngắn, màu trắng, chất liệu vải;KBHLD;;;;;278;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHN;Nón vải;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu xanh lá, lưỡi trai;KBHLD;;;;;27;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
