key_lo;ma_lo;nam_trong;diem_giao_nhan;lat_long;chung_nhan;doi;dien_tich;giong_cao_su;polygon;phien_a;phien_b;phien_c;phien_d
id001;A1;2010;N;12.637279, 105.478175;PEFC CS;1;21,4;PB 260;12.635036,105.476119 12.635023,105.480115 12.635338,105.480084 12.635608,105.480099 12.635842,105.480114 12.636004,105.480166 12.636251,105.480231 12.636392,105.480139 12.636598,105.480137 12.636842,105.480115 12.637113,105.480104 12.637336,105.480116 12.637573,105.480154 12.637685,105.480165 12.637862,105.480027 12.63797,105.480017 12.638066,105.480022 12.638149,105.479992 12.638302,105.479978 12.638414,105.479994 12.638513,105.479983 12.63857,105.479969 12.638592,105.479926 12.638676,105.479908 12.638792,105.479905 12.638919,105.479913 12.639104,105.479928 12.639137,105.479967 12.639205,105.479979 12.63929,105.479949 12.639387,105.479959 12.639464,105.479985 12.639532,105.480021 12.639535,105.476131 12.635036,105.476119;0;0;0;0
id002;A10;2010;N;12.637212, 105.518874;PEFC CS;2;26,82;PB 260;12.634969,105.516317 12.634926,105.520809 12.634965,105.521039 12.635039,105.521207 12.635158,105.52131 12.635297,105.521329 12.6354,105.521328 12.635412,105.521238 12.635464,105.521226 12.635625,105.521242 12.635766,105.521251 12.635965,105.521284 12.636088,105.521212 12.636092,105.521212 12.636244,105.521232 12.636403,105.521289 12.636561,105.521309 12.636769,105.521295 12.636936,105.521359 12.637158,105.521431 12.637256,105.521413 12.63728,105.5214 12.637467,105.521407 12.637631,105.521364 12.637805,105.5214 12.63798,105.521383 12.638081,105.521397 12.638233,105.521381 12.638441,105.521395 12.638584,105.521378 12.638592,105.52137 12.638609,105.521372 12.638795,105.521399 12.638924,105.521343 12.639043,105.521314 12.639193,105.521158 12.639326,105.521099 12.639331,105.521078 12.639493,105.520864 12.639498,105.516344 12.634969,105.516317;0;0;0;0
id003;A11;2010;N;12.637225, 105.524041;PEFC CS;5;13,74;PB 260;12.638859,105.523106 12.63858,105.523079 12.638308,105.523073 12.637945,105.523019 12.637658,105.523003 12.637538,105.522928 12.637256,105.522799 12.63708,105.522711 12.636865,105.522674 12.636725,105.522653 12.636507,105.522689 12.636392,105.522725 12.636227,105.522735 12.63608,105.522765 12.635968,105.522749 12.635853,105.522651 12.635621,105.522639 12.635428,105.5226 12.635225,105.5226 12.635101,105.522623 12.634967,105.52261 12.63496,105.525464 12.63921,105.525483 12.639489,105.525481 12.63949,105.524183 12.63949,105.523975 12.639491,105.523121 12.638859,105.523106;0;0;0;0
id004;A12;2010;N;12.637223, 105.527809;PEFC CS;5;24,2;PB 260;12.634962,105.525545 12.634957,105.530074 12.639484,105.530073 12.639489,105.525581 12.634962,105.525545;0;0;0;0
id005;A13;2011;N;12.637183, 105.532463;PEFC CS;5;24,2;Poly;12.634947,105.530173 12.634882,105.534754 12.639479,105.534718 12.639484,105.53021 12.634947,105.530173;0;0;0;0
id006;A14;2011;N;12.637174, 105.537077;PEFC CS;5;24,2;GT 1;12.634878,105.534818 12.634869,105.53932 12.639475,105.539336 12.639479,105.534832 12.634878,105.534818;0;0;0;0
id007;A15;2011;N;12.637171, 105.541689;PEFC CS;5;24,2;PB 260;12.634868,105.539426 12.634895,105.543951 12.63947,105.543936 12.639475,105.539442 12.634868,105.539426;0;0;0;0
id008;A16;2011;N;12.637179, 105.546308;PEFC CS;5;24,2;RRIC 121;12.634893,105.544032 12.634888,105.548539 12.635296,105.548542 12.635214,105.548344 12.635156,105.547763 12.635416,105.547447 12.635479,105.547241 12.635531,105.546999 12.63576,105.546776 12.635837,105.546527 12.635958,105.54631 12.63604,105.546124 12.636051,105.545828 12.63617,105.545719 12.636188,105.545465 12.636211,105.54515 12.636331,105.545136 12.636381,105.545248 12.636347,105.545471 12.636316,105.545827 12.636272,105.546051 12.636342,105.546203 12.636319,105.546335 12.636118,105.546495 12.636083,105.546763 12.635994,105.54688 12.635905,105.547062 12.635903,105.547268 12.63589,105.547434 12.635814,105.547488 12.635719,105.547468 12.635571,105.547634 12.635493,105.547837 12.635499,105.54819 12.635574,105.548532 12.638227,105.548559 12.638609,105.548568 12.63922,105.54859 12.639465,105.548586 12.639465,105.548586 12.63947,105.544027 12.634893,105.544032;0;0;0;0
id009;A17;2011;N;12.637521, 105.549912;PEFC CS;5;17,26;RRIC 121;12.63565,105.548641 12.635693,105.548792 12.635798,105.549184 12.635898,105.549527 12.636055,105.549916 12.636212,105.550202 12.636506,105.550441 12.636684,105.550648 12.636914,105.550813 12.63697,105.551016 12.637243,105.551096 12.637447,105.55108 12.637566,105.551094 12.637684,105.551194 12.63781,105.551158 12.637911,105.551049 12.637947,105.550821 12.63801,105.550595 12.638044,105.550524 12.638204,105.550418 12.638243,105.550173 12.638353,105.550002 12.638489,105.549877 12.638702,105.54968 12.638977,105.549574 12.639288,105.549486 12.639392,105.549451 12.639393,105.548688 12.635649,105.548631 12.63565,105.548641;0;0;0;0
id010;A18;2011;N;12.638275, 105.55552;PEFC CS;5;13,05;RRIV 124;12.637652,105.553332 12.637639,105.553416 12.637628,105.553515 12.637634,105.553611 12.637667,105.553669 12.637633,105.55375 12.637579,105.553823 12.637563,105.553904 12.637483,105.553926 12.63745,105.554039 12.63744,105.554145 12.637451,105.554283 12.637387,105.554367 12.63733,105.554507 12.637303,105.554608 12.637279,105.554735 12.637289,105.554898 12.637309,105.555034 12.637335,105.555196 12.637405,105.555264 12.637429,105.555347 12.63739,105.555462 12.637311,105.555578 12.63723,105.555696 12.637195,105.555808 12.637163,105.555963 12.637197,105.55616 12.63721,105.556323 12.637223,105.556506 12.637254,105.556634 12.637255,105.556768 12.637251,105.556943 12.637328,105.557063 12.637309,105.557242 12.637209,105.557408 12.637237,105.557525 12.637261,105.557647 12.637302,105.557678 12.637492,105.557778 12.637492,105.557778 12.637492,105.557778 12.637492,105.557778 12.639356,105.557784 12.639356,105.557784 12.639356,105.557784 12.639356,105.557784 12.639384,105.557785 12.639388,105.55326 12.637643,105.553255 12.637652,105.553332;0;0;0;0
id011;A2;2010;N;12.63727, 105.482221;PEFC CS;1;18,7;PB 260;12.639381,105.480688 12.639272,105.480717 12.639099,105.480711 12.638945,105.480665 12.638801,105.48056 12.638687,105.4805 12.638615,105.480464 12.638531,105.480474 12.638413,105.480514 12.638281,105.480474 12.638086,105.480446 12.637978,105.480458 12.63784,105.480493 12.63771,105.480503 12.63751,105.480595 12.637369,105.480686 12.63719,105.480728 12.63691,105.480639 12.636629,105.480602 12.636467,105.480647 12.636359,105.480679 12.636276,105.480691 12.636209,105.480678 12.636167,105.480585 12.63612,105.480539 12.636,105.480539 12.635827,105.480556 12.635632,105.480529 12.635449,105.480502 12.635393,105.48045 12.635281,105.480455 12.635186,105.480442 12.635075,105.480438 12.635021,105.480418 12.635008,105.484005 12.639529,105.484024 12.639532,105.480832 12.639467,105.48064 12.639381,105.480688;0;0;0;0
